number,type
000003,Transfer
000004,Refund
000005,Transfer
000006,Refund
000007,Transfer
000008,Refund
000009,Transfer
000010,Transfer
000011,Refund
000012,Transfer
000013,Refund
000014,Transfer
000015,Refund
000016,Transfer
000017,Transfer
000018,Refund
000019,Transfer
000020,Refund
000021,Refund
000022,Transfer
000023,Refund
000024,Refund
000025,Transfer
000026,Refund
000027,Refund
000028,Transfer
000029,Refund
000030,Refund
000031,Transfer
000032,Refund
000033,Refund
000034,Transfer
000035,Refund
000036,Refund
000037,Transfer
000038,Refund
000039,Refund
000040,Transfer
000041,Refund
000042,Refund
000043,Transfer
000044,Refund
000045,Refund
000046,Transfer
000047,Refund
000048,Refund
000049,Transfer
000050,Transfer
