number,type
000100,Transfer
000101,Transfer
000102,Transfer
000103,Transfer
000104,Transfer
000105,Transfer
000106,Transfer
000107,Transfer
000108,Transfer
000109,Transfer
000110,Transfer
000111,Transfer
000112,Transfer
000113,Transfer
000114,Transfer
000115,Transfer
000116,Transfer
000117,Transfer
000118,Transfer
000119,Transfer
000120,Transfer
000121,Transfer
000122,Transfer
000123,Transfer
000124,Transfer
000125,Transfer
000126,Transfer
000127,Transfer
000128,Transfer
000129,Transfer
000130,Transfer
000131,Transfer
000132,Transfer
000133,Transfer
000134,Transfer
000135,Transfer
000136,Transfer
000137,Transfer
000138,Transfer
000139,Transfer
000140,Transfer
000141,Transfer
000142,Transfer
000143,Transfer
000144,Transfer
000145,Transfer
000146,Transfer
000147,Transfer
000148,Transfer
000149,Transfer
